15334	15751	1
15334	27623	1
15334	38351	1
15334	21990	1
15334	28136	1
15334	21995	1
15334	16992	1
15334	26615	1
15334	21996	1
15334	21992	1
15334	22745	1
15334	21989	1
15334	26616	1
15334	2635	1
15334	14184	1
15334	38275	1
15334	26413	1
15334	21997	1
15334	10518	1
10518	16298	1
9992	10518	1
14136	10518	1
26565	10518	1
2629	10518	1
26515	10518	1
5157	10518	1
10518	31270	1
21997	21213	1
21997	18983	1
21997	26344	1
26571	26413	1
17827	26413	1
28563	26413	1
26413	15873	1
26459	26413	1
20523	38275	1
14184	1025	1
14184	26771	1
14184	26591	1
14184	26614	1
14184	26513	1
14184	26593	1
14184	42653	1
14184	26598	1
14184	40852	1
27821	2635	1
34224	2635	1
2635	27806	1
27802	2635	1
26577	2635	1
2625	2635	1
26616	21986	1
28287	26616	1
38690	26616	1
27864	26616	1
26616	11309	1
5356	22745	1
35301	21992	1
27888	21992	1
21993	21992	1
24254	21996	1
24255	21996	1
26350	21996	1
21996	18983	1
11140	21996	1
26615	13110	1
26615	23438	1
26615	10350	1
5519	16992	1
12430	16992	1
10659	16992	1
16992	13936	1
16992	15523	1
23438	16992	1
16992	11309	1
10350	16992	1
21995	5519	1
21995	17966	1
21995	28243	1
21995	21988	1
21995	26557	1
21986	28136	1
28287	28136	1
28243	28136	1
38351	31835	1
38351	2611	1
12500	31270	1
27056	31270	1
26401	26344	1
26350	26344	1
44081	26344	1
26351	26344	1
20523	48869	1
27673	20523	1
48861	20523	1
20523	25606	1
32273	20523	1
48859	20523	1
20523	25458	1
31236	20523	1
20512	20523	1
20523	20513	1
21778	20523	1
20523	21772	1
21779	20523	1
42652	11309	1
5356	15594	1
5356	15750	1
26492	5356	1
5356	38879	1
5356	38834	1
21993	21986	1
21987	21993	1
21991	21993	1
34708	27888	1
34699	27888	1
34701	27888	1
34710	27888	1
34711	27888	1
10350	11144	1
15878	10350	1
10350	11140	1
11138	10350	1
41588	15523	1
28210	28243	1
22160	2611	1
2611	26330	1
31837	2611	1
10974	2611	1
32272	2611	1
15575	2611	1
12500	26571	1
12500	47516	1
12500	18591	1
12500	26619	1
12500	18592	1
21779	19122	1
21779	25655	1
21779	27702	1
21779	25514	1
21779	32333	1
21779	21781	1
21779	25384	1
21772	21773	1
21772	21771	1
48877	21772	1
25671	21772	1
21782	21772	1
25564	21772	1
21774	21772	1
21772	48870	1
21772	48866	1
21772	21775	1
21772	48868	1
21772	21776	1
21772	48878	1
21772	20527	1
27593	21772	1
21786	21772	1
21772	48883	1
21772	48862	1
21772	48881	1
21772	20514	1
21772	48882	1
21772	48867	1
21772	48879	1
21772	40740	1
21772	21788	1
48872	21772	1
21772	32275	1
21772	28996	1
21787	21772	1
21772	45523	1
21772	21790	1
21772	40741	1
32274	21772	1
21772	27705	1
48962	21772	1
48963	21772	1
21772	48871	1
28581	21772	1
21772	48863	1
21772	48964	1
21772	21783	1
21772	20519	1
21772	45524	1
21772	21777	1
22031	42652	1
22033	42652	1
42652	41349	1
42652	42653	1
42652	15543	1
42652	11104	1
21778	20526	1
21778	20521	1
21778	20515	1
21778	21767	1
21768	21778	1
21778	28025	1
32398	21778	1
21778	32356	1
21778	20543	1
21778	21785	1
21778	21789	1
21778	32334	1
21991	14436	1
21991	9258	1
42100	15575	1
31455	15575	1
31797	15575	1
15575	42177	1
31799	15575	1
15575	31798	1
22318	32272	1
32272	22669	1
32272	22187	1
18592	27761	1
26619	26818	1
36765	20543	1
36699	20543	1
31801	31799	1
31799	31800	1
31764	42177	1
31763	42177	1
42100	41976	1
42100	48804	1
42100	44986	1
42100	47253	1
42100	47254	1
21839	20515	1
20521	35270	1
20526	35270	1
15542	11104	1
40484	31763	1
40485	31763	1
31763	40486	1
31764	40478	1
31764	40479	1
40480	31764	1
42447	47254	1
48805	47254	1
44988	47254	1
41975	47253	1
48806	47253	1
44987	47253	1
27841	21839	1
21839	50598	1
21839	22043	1
21839	26436	1
21839	35697	1
31799	21839	1
21839	36539	1
50599	35270	1
38401	35270	1
26436	22043	1
27841	35200	1
27841	28116	1
27841	26660	1
27841	21688	1
