4126 Return_of_the_Noldor
996 Middle-earth
5093 Ages
1461 Beleriand
1001 War_of_Wrath
3728 Lindon
4146 Númenor
2254 Gil-galad
3427 High_King_of_the_Noldor
2246 Ered_Luin
1455 Belegaer
2816 Grey_Havens
1104 Aman
4364 Rivendell
2128 Elrond
9805 Noldorin
2252 Eregion
3968 Misty_Mountains
1703 Celebrimbor
1805 Curufin
1997 Dwarves
3609 Moria
4426 Sauron
4361 Rings_of_Power
4194 The_One_Ring
2048 Edain
35108 MEN
4846 Valar
1967 Dúnedain
1277 Númenóreans
2091 Elendil
1304 Arnor
2730 Gondor
2254 Gil-galad
3689 Last_Alliance_of_Elves_and_Men
4426 Sauron
1415 Barad-dûr
3728 Lindon
4146 Númenor
1997 Dwarves
1524 Blue_Mountains
3609 Moria
1277 Númenóreans
996 Middle-earth
1178 Lords_of_Andúnië
2252 Eregion
1129 Hirilondë
4426 Sauron
5521 East
1023 War_of_the_Elves_and_Sauron
2539 Galadriel
1699 Celeborn
2128 Elrond
4364 Rivendell
4451 Shadow
4361 Rings_of_Power
4711 Three_Rings
4250 Pelargir
4068 Nazgûl
1311 Ar-Pharazôn
1038 War_of_the_Last_Alliance
1304 Arnor
2730 Gondor
1941 Downfall_of_Númenor
1861 Dark_Years
52906 Middle_Days
