1907 Dol_Amroth
2730 Gondor
2304 Faithful
4146 Númenor
1467 Belfalas
4437 Second_Age
1277 Númenóreans
1178 Lords_of_Andúnië
2091 Elendil
1941 Downfall_of_Númenor
20564 Prince
2091 Elendil
2730 Gondor
1924 Dor-en-Ernil
3817 Lossarnach
4008 Morwen_Steelsheen
4686 Thengel
4377 Rohan
2478 Théoden
2477 Éomer
14943 Adrahil_I
4190 Ondoher
4902 Wainriders
2740 Gondorians
1148 Amroth
2538 Galador
3973 Mithrellas
3543 Imrahil
3706 Legolas
2538 Galador
1823 Aglahad
10306 Angelimir
1055 Adrahil_II
3543 Imrahil
6403 Elphir
1831 Alphros
35879 House_of_Dol_Amroth
