2845 Gulf_of_Lune
3715 Lhûn
2261 Eriador
2157 Elves_of_Lindon
2492 Noldor
4495 Sindar
2153 Silvan_Elves
4853 Valinor
1734 Círdan
2254 Gil-galad
3427 High_King_of_the_Noldor
3728 Lindon
2205 Entulessë
1277 Númenóreans
4862 Vëantur
996 Middle-earth
996 Middle-earth
2585 Gandalf
4064 Narya
2022 Eärnur
2730 Gondor
1316 Arthedain
19985 Angmar_War
1199 Angmar
2433 Forlond
2565 Galdor_of_the_Havens
4364 Rivendell
1785 Council_of_Elrond
4426 Sauron
2423 Aragorn
4344 War_of_the_Ring
2585 Gandalf
2128 Elrond
2539 Galadriel
996 Middle-earth
4853 Valinor
3602 Last_Riding_of_the_Keepers
1493 Bilbo_Baggins
1378 Frodo_Baggins
4565 Straight_Road
4348 Ring-bearers
2303 Fairbairn_Family
2577 Samwise_Gamgee
1104 Aman
2449 Fourth_Age
1104 Aman
4496 Sindarin
10287 Mith
10791 Lond
