1967 Dúnedain
3573 Isildur
2091 Elendil
4842 Valandil_(King_of_Arnor)
2423 Aragorn
4328 Reunited_Kingdom
996 Middle-earth
3573 Isildur
2091 Elendil
3426 High_King_of_the_Dúnedain
4328 Reunited_Kingdom
1304 Arnor
2730 Gondor
4426 Sauron
4437 Second_Age
10932 Disaster_of_the_Gladden_Fields
4842 Valandil_(King_of_Arnor)
4364 Rivendell
3919 Meneldil
1304 Arnor
1199 Angmar
1319 Arvedui
2386 Fíriel
2733 Kings_of_Gondor
4190 Ondoher
3491 House_of_Isildur
2738 House_of_Anárion
3426 High_King_of_the_Dúnedain
1721 Chieftains_of_the_Dúnedain
1305 Dúnedain_of_Arnor
4395 Ruling_Steward
2423 Aragorn
4344 War_of_the_Ring
3947 Minas_Tirith
4328 Reunited_Kingdom
