image	File:Ted Nasmith - At Lake Cuiviénen.jpg
caption	1959
origin	1727
origin	3531
location	1802
location	4728
location	4597
location	2435
location	1102
location	2259
location	1926
location	2305
location	3456
location	4229
location	4871
location	4052
location	2725
location	2052
location	4024
location	1395
location	3728
location	2074
location	2252
location	3823
location	4364
location	3964
location	3587
rivalry	4203
rivalry	1997
language	3764
language	4291
language	4496
language	4939
people	2490
people	2492
people	4671
people	4495
people	4043
people	2153
people	2316
people	1351
members	3550
members	2133
members	2378
members	2338
members	2372
members	2254
members	2539
members	2346
members	2341
members	3832
members	2376
members	4775
members	3526
members	3838
members	1734
members	1699
members	1703
lifespan	1269
QUE	4289
