image	File:Ted Nasmith - Felagund Among Bëor’s Men.jpg
caption	1959
origin	1727
location	3434
location	1461
location	4146
location	2730
location	1304
location	4377
location	1974
location	2920
location	3607
location	2439
location	4336
location	2920
location	4334
rivalry	4203
language	4615
language	1059
language	4496
language	4939
language	4291
people	1475
people	2897
people	2884
people	2030
people	1277
people	1510
people	1967
people	1305
people	2740
people	1772
people	2443
people	2924
people	2488
people	1975
people	1847
people	1478
people	1431
people	1953
people	3462
members	1473
members	2882
members	20454
members	20442
members	20384
members	20315
members	20468
members	4771
members	2130
members	1311
members	2091
members	3573
members	1429
members	1884
members	1555
members	2324
members	2478
members	2477
members	46849
members	2423
distinctions	2653
distinctions	13134
distinctions	996
